data,Q med (m³/s) Dora Baltea a Tavagnasco,Q med (m³/s) Naviglio d’Ivrea,Q med (m³/s) Canale Depretis,Q med (m³/s) Canale Farini,Q min (m³/s) Dora Baltea a Verolengo,Q med (m³/s) Dora Baltea
2025-02-01,NaN,6.6,NaN,NaN,NaN,NaN,NaN
2025-02-02,42.3,6.59,NaN,NaN,NaN,NaN,NaN
2025-02-03,46.9,6.62,NaN,NaN,NaN,NaN,NaN
2025-02-04,49.1,6.61,NaN,NaN,NaN,NaN,NaN
2025-02-05,45.3,6.6,NaN,NaN,NaN,NaN,NaN
2025-02-06,42.9,6.6,NaN,NaN,NaN,NaN,NaN
2025-02-07,37.6,6.55,NaN,NaN,23.9,33.8,NaN
2025-02-08,44.7,6.57,NaN,NaN,29.6,39.4,NaN
2025-02-09,44.1,6.59,NaN,NaN,28.6,41.7,NaN
2025-02-10,44.6,6.58,NaN,NaN,28.6,40.7,NaN
2025-02-11,44.2,6.58,NaN,NaN,28.6,39.4,NaN
2025-02-12,44.5,6.6,NaN,NaN,39.5,41.8,NaN
